date,信弘对冲25号私募证券投资基金,展弘多策略11号私募证券投资基金,展弘稳进1号1期私募证券投资基金,念觉优恒12号私募证券投资基金,衍复希格斯二号私募证券投资基金,顽岩量化对冲10号私募证券投资基金A
2023-03-21,0.0,0.0,0.0,0.0,0.0,0.0
2023-03-22,0.0,-0.0008111031002162594,0.0,0.00254627362648141,0.0019027849852968348,0.0
2023-03-23,0.0,-0.00018039144944526075,0.0,-0.003907394744554038,-0.001553867403314979,0.0
2023-03-24,0.0,0.00045105999097883043,0.0,0.0015690889477297798,-0.0006916825177244457,0.0
2023-03-27,0.0,-0.0008115419296662596,0.0,0.0023499461470675165,-0.0006056411143795515,0.0
2023-03-28,0.0,-0.0003609782510605175,0.0,-0.0053726677737618855,-0.002597177733529632,0.0
2023-03-29,0.0,0.0,0.0,0.0008839127872715125,0.00043399010502565005,0.0
2023-03-30,0.0,0.001805543017062483,0.0,-0.006181925228142426,-0.0019954884608710532,0.0
2023-03-31,-0.0005000500050005297,-0.0005406866720735204,9.364172675341287e-05,0.007109004739336511,0.0019994783969399244,0.0
2023-04-03,0.0,0.0017131007122892505,0.0,0.002156862745098076,0.0026895714037826757,0.0
2023-04-04,0.0,-0.00099009900990088,0.0,-0.0012717667775387076,-0.000259582936748215,0.0
2023-04-06,0.0,0.00117127669159367,0.0,-0.0003918111470271324,-0.0012982516877272365,0.0
2023-04-07,-0.0040024014408645,-0.0005399568034556435,0.001498127340824107,0.0013718765311123704,0.0003466504896438849,0.0
2023-04-10,0.0,-0.0005402485143165547,0.0,-0.006067129856150322,-0.0034653036472320764,0.0
2023-04-11,0.0,0.00045045045045033483,0.0,0.00571034754356603,0.004172824480570103,0.0
2023-04-12,0.0,0.001530841963079732,0.0,0.006069505628977012,0.004761492511470955,0.0
2023-04-13,0.0,0.0,0.0,-0.0008757419480394102,-0.002154058245735113,0.0
2023-04-14,-0.002109704641350185,-0.0007192950908111451,0.0008414360508599561,9.738994935726275e-05,0.0002590449874797507,0.0
2023-04-17,0.0,0.0007198128486594069,0.0,-0.004382120946538115,0.00017265193370152865,0.0
2023-04-18,0.0,-0.00026973565905408226,0.0,-0.0011737089201876438,0.0021577766269635923,0.0
2023-04-19,0.0,0.0008094253080312974,0.0,0.003819036427731959,0.002325381104125279,0.0
2023-04-20,0.0,-0.00116822429906549,0.0,0.0005853087503659982,0.0036947929197457263,0.0
2023-04-21,-0.010168126447196224,0.0013495276653172628,0.00037365716954695927,-0.005654674856195752,-0.0045372827668862525,0.0
2023-04-24,0.0,-0.0006289308176099517,0.0,0.004314148445925925,0.003955968352253203,0.0
2023-04-25,0.0,0.0006293266205159576,0.0,-0.0016596700185492752,0.0007709439780707594,0.0
2023-04-26,0.0,-0.0016172506738544312,0.0,-0.000684529630353925,-0.0030814003252587208,0.0
2023-04-27,0.0,0.0018898488120950852,0.0,-0.0011742831979646429,-0.0001717180389799733,0.0
2023-04-28,0.00010170870626513562,0.00044911524297130967,0.00065365580352994,0.0061722347408641465,0.0018033490768569749,0.0
2023-05-04,0.0,8.97827258035111e-05,0.0,0.0011684518013632683,0.004028801645808322,0.0
2023-05-05,0.009457947727041782,8.977466558945935e-05,0.0005599104143336753,0.00048628671464689965,0.0015367540339794594,0.0
2023-05-08,0.0,-0.000359066427289223,0.0,-0.0005832604257800522,0.002301594067001922,0.0
2023-05-09,0.0,0.0023347701149427635,0.0,-0.005057873747689956,-0.003231842150025588,0.0
2023-05-10,0.0,-0.0009854864719585077,0.0,0.006452243621077436,0.0013651877133105117,0.0
2023-05-11,0.0,0.0010761366693570196,0.0,0.0036911121903837607,0.002044989775051187,0.0
2023-05-12,0.0022164013701388985,-0.0011645614978053054,0.0002797985450475604,0.0,-0.002125850340136015,0.0
2023-05-15,0.0,-0.0018834080717489154,0.0,0.001451659730958843,0.0005112910097997414,0.0
2023-05-16,0.0,0.004672477311528533,0.0,-0.005411673753382362,-0.003406864832637746,0.0
2023-05-17,0.003015681544028981,0.003130310347911447,0.0,0.006509910610182912,0.00384582514315035,0.0
2023-05-18,-0.0018039687312086938,-0.0028530670470754416,0.0,0.0027029636065256657,0.007577047505533674,0.0
2023-05-19,-0.005823293172690813,0.0017882689556509845,0.0009324009324007676,-0.003850967555598328,-0.004478242501056218,0.0
2023-05-22,0.006665320137346109,-0.0025883612995359906,0.0,0.00299603749879207,0.0017823799015446173,0.0
2023-05-23,-0.0027086677367577083,0.002953020134228268,0.0,-0.002216226633262597,-0.0031347962382443084,0.0
2023-05-24,0.0,0.0019628836545324546,0.0,0.0027040077257363127,0.0016998130205676532,0.0
2023-05-25,0.008751634644401873,0.0011576135351736294,0.0,0.007127034575748814,0.006363482097403672,0.0
2023-05-26,-0.007678500199441496,-0.001867828871297661,0.0015836050302748816,-0.003347040260112899,-0.0021077480819492456,0.0
2023-05-29,-0.006230529595015577,0.0006237747282122896,0.0,-0.0005757052389175898,0.002365664075701268,0.0
2023-05-30,-0.0011123470522802492,-0.0019592127526939507,0.0,9.600614439331245e-05,0.0021915037086988054,0.0
2023-05-31,-0.00445434298440972,0.002766128312661653,-9.300595238093123e-05,-0.0011519631371796901,0.0019343986543314262,0.0
2023-06-01,0.00020337604230213913,-0.002936465563267321,0.0,-0.00048053820278703974,0.0001678838243934777,0.0
2023-06-02,0.0008133387555917526,-0.003302097278000904,-0.0015812482559762753,0.0001923076923076028,-0.0014267729752412972,0.0
2023-06-05,0.001219016659894434,0.009491404011461313,0.0,0.004229955777734995,0.005379055303412317,0.0
