UID,日期,产品代码,产品名称,单位净值,累计净值,来源文件
2024-01-31_SSE401,2024-01-31,SSE401,展弘多策略11号私募证券投资基金,0.9917,1.1412,C:\Invest\净值存储\htsc_SSE401_展弘多策略11号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SSS488,2024-01-31,SSS488,展弘稳泰对冲运作10号私募证券投资基金,1.2325,1.2325,C:\Invest\净值存储\htsc_SSS488_展弘稳泰对冲运作10号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SSU514,2024-01-31,SSU514,展弘CTA运作6号私募证券投资基金,0.9096,0.9096,C:\Invest\净值存储\htsc_SSU514_展弘CTA运作6号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SSX171,2024-01-31,SSX171,展弘CTA运作8号私募证券投资基金,1.154,1.154,C:\Invest\净值存储\htsc_SSX171_展弘CTA运作8号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SVQ762,2024-01-31,SVQ762,跃威屹鑫一号私募证券投资基金,1.0029,1.0763,C:\Invest\净值存储\htsc_SVQ762_跃威屹鑫一号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SXA680,2024-01-31,SXA680,信弘中证1000指数增强1号私募证券投资基金,0.9573,0.9573,C:\Invest\净值存储\htsc_SXA680_信弘中证1000指数增强1号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SXJ593,2024-01-31,SXJ593,翔云50量化3号私募证券投资基金,1.0432,1.0432,C:\Invest\净值存储\htsc_SXJ593_翔云50量化3号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SXY371,2024-01-31,SXY371,千衍三涛9号私募证券投资基金,1.0596,1.0596,C:\Invest\净值存储\htsc_SXY371_千衍三涛9号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SXZ439,2024-01-31,SXZ439,磐松中证500指数增强1号私募证券投资基金,0.9268,0.9268,C:\Invest\净值存储\htsc_SXZ439_磐松中证500指数增强1号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SZA093,2024-01-31,SZA093,睿量光子1号私募证券投资基金,1.0059,1.0074,C:\Invest\净值存储\htsc_SZA093_睿量光子1号私募证券投资基金_产品估值表_日报_20240131_二级.xls
2024-01-31_SZQ723,2024-01-31,SZQ723,锦徽中性1号私募证券投资基金,1.0543,1.0543,C:\Invest\净值存储\htsc_SZQ723_锦徽中性1号私募证券投资基金_产品估值表_日报_20240131_三级.xls
2024-01-31_SZY326,2024-01-31,SZY326,牧鑫明鑫对冲1号私募证券投资基金,1.1725,1.1677,C:\Invest\净值存储\htsc_SZY326_牧鑫明鑫对冲1号_产品估值表_日报_20240131_三级.xls
2024-01-29_SXQ300,2024-01-29,SXQ300,云程中性2号私募证券投资基金,1.0587,1.0587,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-01-29.xls
2024-01-30_SXQ300,2024-01-30,SXQ300,云程中性2号私募证券投资基金,1.0611,1.0611,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-01-30.xls
2024-01-31_SXQ300,2024-01-31,SXQ300,云程中性2号私募证券投资基金,1.0592,1.0592,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-01-31.xls
2024-02-01_SXQ300,2024-02-01,SXQ300,云程中性2号私募证券投资基金,1.0589,1.0589,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-02-01.xls
2024-02-02_SXQ300,2024-02-02,SXQ300,云程中性2号私募证券投资基金,1.0694,1.0694,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-02-02.xls
2024-02-05_SXQ300,2024-02-05,SXQ300,云程中性2号私募证券投资基金,1.0621,1.0621,C:\Invest\净值存储\htsc_云程中性2号私募证券投资基金_SXQ300_基金每日净值表_2024-02-05.xls
2024-01-29_QX020B,2024-01-29,QX020B,千衍九思9号私募证券投资基金B类,1.2859,1.2859,C:\Invest\净值存储\htsc_千衍九思9号私募证券投资基金B类_QX020B_基金每日净值表_2024-01-29.xls
2024-01-30_QX020B,2024-01-30,QX020B,千衍九思9号私募证券投资基金B类,1.2792,1.2792,C:\Invest\净值存储\htsc_千衍九思9号私募证券投资基金B类_QX020B_基金每日净值表_2024-01-30.xls
2024-01-31_QX020B,2024-01-31,QX020B,千衍九思9号私募证券投资基金B类,1.2432,1.2432,C:\Invest\净值存储\htsc_千衍九思9号私募证券投资基金B类_QX020B_基金每日净值表_2024-01-31.xls
2024-02-01_QX020B,2024-02-01,QX020B,千衍九思9号私募证券投资基金B类,1.2377,1.2377,C:\Invest\净值存储\htsc_千衍九思9号私募证券投资基金B类_QX020B_基金每日净值表_2024-02-01.xls
2024-02-02_QX020B,2024-02-02,QX020B,千衍九思9号私募证券投资基金B类,1.2701,1.2701,C:\Invest\净值存储\htsc_千衍九思9号私募证券投资基金B类_QX020B_基金每日净值表_2024-02-02.xls
2024-01-29_SB6425,2024-01-29,SB6425,杉树誉钧多策略1号量化私募证券投资基金,1.0878,1.0878,C:\Invest\净值存储\htsc_杉树誉钧多策略1号量化私募证券投资基金_SB6425_基金每日净值表_2024-01-29.xls
2024-01-30_SB6425,2024-01-30,SB6425,杉树誉钧多策略1号量化私募证券投资基金,1.0842,1.0842,C:\Invest\净值存储\htsc_杉树誉钧多策略1号量化私募证券投资基金_SB6425_基金每日净值表_2024-01-30.xls
